"State","Crop","Calendar","Mandi Arrival Quantity (AgMarknet) (AgMarknet)","Mandi Modal Price (AgMarknet)"
"Uttar Pradesh","Paddy","01 Jan 2011","19363.20","1183.92"
"Uttar Pradesh","Paddy","02 Jan 2011","6904.80","1160.22"
"Uttar Pradesh","Paddy","03 Jan 2011","11632.10","1050.11"
"Uttar Pradesh","Paddy","04 Jan 2011","14700.70","1043.03"
"Uttar Pradesh","Paddy","05 Jan 2011","12800.90","1008.42"
"Uttar Pradesh","Paddy","06 Jan 2011","36285.30","920.89"
"Uttar Pradesh","Paddy","07 Jan 2011","17859.60","1063.97"
"Uttar Pradesh","Paddy","08 Jan 2011","14559.63","1052.30"
"Uttar Pradesh","Paddy","09 Jan 2011","6485.20","1212.70"
"Uttar Pradesh","Paddy","10 Jan 2011","14919.90","1065.83"
"Uttar Pradesh","Paddy","11 Jan 2011","12128.50","1072.48"
"Uttar Pradesh","Paddy","12 Jan 2011","16576.55","1067.02"
"Uttar Pradesh","Paddy","13 Jan 2011","18211.80","1289.50"
"Uttar Pradesh","Paddy","14 Jan 2011","12795.80","1083.98"
"Uttar Pradesh","Paddy","15 Jan 2011","15720.00","1054.33"
"Uttar Pradesh","Paddy","16 Jan 2011","7422.40","1724.78"
"Uttar Pradesh","Paddy","17 Jan 2011","13749.20","1068.19"
"Uttar Pradesh","Paddy","18 Jan 2011","12577.50","1061.96"
"Uttar Pradesh","Paddy","19 Jan 2011","16610.90","1028.19"
"Uttar Pradesh","Paddy","20 Jan 2011","12121.40","1027.11"
"Uttar Pradesh","Paddy","21 Jan 2011","11729.70","1064.78"
"Uttar Pradesh","Paddy","22 Jan 2011","9313.80","1044.09"
"Uttar Pradesh","Paddy","23 Jan 2011","5627.80","1106.38"
"Uttar Pradesh","Paddy","24 Jan 2011","9006.70","1061.80"
"Uttar Pradesh","Paddy","25 Jan 2011","8805.10","1060.44"
"Uttar Pradesh","Paddy","26 Jan 2011","2827.40","1069.84"
"Uttar Pradesh","Paddy","27 Jan 2011","10337.65","1053.92"
"Uttar Pradesh","Paddy","28 Jan 2011","11654.80","1061.37"
"Uttar Pradesh","Paddy","29 Jan 2011","7881.70","1070.00"
"Uttar Pradesh","Paddy","30 Jan 2011","4095.00","1130.05"
"Uttar Pradesh","Paddy","31 Jan 2011","8305.90","1040.30"
"Uttar Pradesh","Paddy","01 Feb 2011","9272.20","1026.95"
"Uttar Pradesh","Paddy","02 Feb 2011","6534.60","1013.67"
"Uttar Pradesh","Paddy","03 Feb 2011","11050.20","1016.91"
"Uttar Pradesh","Paddy","04 Feb 2011","9259.50","1029.05"
"Uttar Pradesh","Paddy","05 Feb 2011","5775.60","1034.31"
"Uttar Pradesh","Paddy","06 Feb 2011","2332.30","1131.82"
"Uttar Pradesh","Paddy","07 Feb 2011","8853.50","1030.55"
"Uttar Pradesh","Paddy","08 Feb 2011","6893.50","1041.31"
"Uttar Pradesh","Paddy","09 Feb 2011","7207.90","1016.02"
"Uttar Pradesh","Paddy","10 Feb 2011","6727.30","1043.34"
"Uttar Pradesh","Paddy","11 Feb 2011","5811.50","1027.51"
"Uttar Pradesh","Paddy","12 Feb 2011","5721.60","1031.99"
"Uttar Pradesh","Paddy","13 Feb 2011","2701.70","1052.47"
"Uttar Pradesh","Paddy","14 Feb 2011","7577.90","1028.23"
"Uttar Pradesh","Paddy","15 Feb 2011","5878.40","1034.17"
"Uttar Pradesh","Paddy","16 Feb 2011","6182.00","1022.70"
"Uttar Pradesh","Paddy","17 Feb 2011","3582.90","1103.63"
"Uttar Pradesh","Paddy","18 Feb 2011","5893.30","1045.20"
"Uttar Pradesh","Paddy","19 Feb 2011","4966.90","1066.38"
"Uttar Pradesh","Paddy","20 Feb 2011","1654.90","1041.84"
"Uttar Pradesh","Paddy","21 Feb 2011","6539.40","1014.07"
"Uttar Pradesh","Paddy","22 Feb 2011","5441.40","1014.88"
"Uttar Pradesh","Paddy","23 Feb 2011","9170.40","1014.22"
"Uttar Pradesh","Paddy","24 Feb 2011","6244.60","1033.66"
"Uttar Pradesh","Paddy","25 Feb 2011","7933.80","1051.88"
"Uttar Pradesh","Paddy","26 Feb 2011","7125.00","1059.34"
"Uttar Pradesh","Paddy","27 Feb 2011","1674.80","1195.08"
"Uttar Pradesh","Paddy","28 Feb 2011","5951.40","1043.17"
"Uttar Pradesh","Paddy","01 Mar 2011","14111.10","1004.19"
"Uttar Pradesh","Paddy","02 Mar 2011","14750.60","1010.72"
"Uttar Pradesh","Paddy","03 Mar 2011","10973.30","1036.60"
"Uttar Pradesh","Paddy","04 Mar 2011","10811.70","1025.23"
"Uttar Pradesh","Paddy","05 Mar 2011","10891.80","1038.50"
