date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2010-01-01 00:00:00+00:00,20.3305,7.9805,14.380501,19.296692,6.3618994,13.410439,0.0,0.0,0.0,9.605998,20.519999,281.07956
2010-01-02 00:00:00+00:00,20.780499,9.080501,14.476334,19.942945,7.4047174,13.608867,0.0,0.0,0.0,9.746631,22.319998,286.76416
2010-01-03 00:00:00+00:00,21.530499,9.7805,15.565915,20.998783,7.9063396,14.594884,0.3,0.3,0.0,13.039754,22.319998,266.31174
2010-01-04 00:00:00+00:00,22.5805,11.580501,16.584665,20.063766,9.7377205,14.596001,0.0,0.0,0.0,22.366402,40.32,268.58752
2010-01-05 00:00:00+00:00,17.530499,10.6805,14.405501,16.606483,9.082094,13.464584,0.0,0.0,0.0,13.039754,28.08,281.97937
2010-01-06 00:00:00+00:00,19.4805,9.7805,14.413833,19.079155,9.10275,13.820663,0.0,0.0,0.0,8.473393,17.64,287.73062
2010-01-07 00:00:00+00:00,22.280499,7.7805004,14.976333,22.561563,6.508218,14.557781,0.0,0.0,0.0,8.654986,15.119999,267.00305
2010-01-08 00:00:00+00:00,22.4305,9.1305,15.661748,23.321445,7.701564,15.153037,0.0,0.0,0.0,10.805999,16.56,259.79086
2010-01-09 00:00:00+00:00,21.4805,10.4805,15.128417,20.872475,9.075968,14.229516,0.0,0.0,0.0,10.587917,24.119999,262.6229
2010-01-10 00:00:00+00:00,19.9305,9.830501,14.522167,18.826948,8.366175,13.189538,0.0,0.0,0.0,11.874544,25.199999,265.39902
2010-01-11 00:00:00+00:00,19.280499,9.4805,14.2305,17.585545,8.027753,12.795785,0.0,0.0,0.0,15.827721,30.960001,268.98306
2010-01-12 00:00:00+00:00,20.2305,8.9305,14.018002,18.564592,7.48267,12.889373,0.0,0.0,0.0,12.964998,25.919998,260.35474
2010-01-13 00:00:00+00:00,20.9305,8.9805,15.678416,20.353043,7.794277,15.411159,3.3,3.3,0.0,8.707237,20.880001,87.13765
2010-01-14 00:00:00+00:00,22.380499,11.8805,16.524252,22.09998,11.007716,15.962243,0.0,0.0,0.0,13.910169,27.359999,262.72507
2010-01-15 00:00:00+00:00,21.4805,9.8805,15.3742485,21.645874,8.846115,15.094223,0.0,0.0,0.0,8.557102,20.880001,274.12604
2010-01-16 00:00:00+00:00,20.9805,8.9805,14.82425,20.993958,7.8344,14.416183,0.0,0.0,0.0,9.693296,20.880001,288.48175
2010-01-17 00:00:00+00:00,20.4305,8.6305,14.109666,20.238985,7.442047,13.5973625,0.0,0.0,0.0,9.36,22.68,276.34006
2010-01-18 00:00:00+00:00,20.630499,9.2305,14.499249,21.20294,8.058504,14.265827,0.0,0.0,0.0,9.6932955,18.0,268.49255
2010-01-19 00:00:00+00:00,22.030499,10.4805,15.66175,22.339703,9.553515,15.427501,0.0,0.0,0.0,10.1376915,21.24,266.808
2010-01-20 00:00:00+00:00,22.0805,10.1805,15.71175,22.553352,9.030906,15.44933,0.0,0.0,0.0,10.08,18.359999,272.70782
2010-01-21 00:00:00+00:00,22.4305,9.9305,15.797166,22.205065,8.480344,15.0904875,0.0,0.0,0.0,10.446206,22.319998,269.49023
2010-01-22 00:00:00+00:00,22.2305,9.8805,15.9159155,23.161572,8.573834,15.689248,0.0,0.0,0.0,9.6932955,19.44,277.81992
2010-01-23 00:00:00+00:00,22.380499,9.7305,15.361751,23.069235,8.223579,15.060412,0.0,0.0,0.0,9.9571085,16.919998,273.67554
2010-01-24 00:00:00+00:00,22.4805,9.8805,15.838834,23.433622,8.939803,16.091185,0.0,0.0,0.0,6.9153743,14.04,143.01111
2010-01-25 00:00:00+00:00,23.380499,9.4805,16.617998,24.516665,8.547166,16.576517,0.0,0.0,0.0,9.605998,15.119999,287.29254
2010-01-26 00:00:00+00:00,24.6805,10.9305,17.882582,25.348877,9.987017,17.952188,0.0,0.0,0.0,9.793058,20.16,266.28763
2010-01-27 00:00:00+00:00,25.3305,12.0305,18.042997,25.485222,11.164093,17.944271,0.0,0.0,0.0,12.605142,25.919998,269.29642
2010-01-28 00:00:00+00:00,24.6805,11.1805,17.559666,24.450764,10.178091,17.009163,0.0,0.0,0.0,10.464798,21.599998,266.186
2010-01-29 00:00:00+00:00,24.6805,10.9305,17.982584,24.486013,9.861938,17.755419,0.0,0.0,0.0,12.661564,24.84,273.52808
2010-01-30 00:00:00+00:00,25.9305,12.4805,18.795082,24.609024,11.616742,17.62748,0.0,0.0,0.0,20.240196,37.8,271.59308
2010-01-31 00:00:00+00:00,24.5805,9.9305,17.045084,23.219616,8.434753,15.5019455,0.0,0.0,0.0,14.973576,26.64,282.97495
2010-02-01 00:00:00+00:00,24.880499,9.5305,17.372164,23.588526,8.013106,16.137484,0.0,0.0,0.0,11.885453,23.759998,282.34857
2010-02-02 00:00:00+00:00,24.9805,11.5305,17.49925,22.553179,9.790834,15.393368,0.0,0.0,0.0,17.643673,32.760002,268.67126
2010-02-03 00:00:00+00:00,24.780499,11.1805,17.403418,21.688034,9.067558,14.88879,0.0,0.0,0.0,21.38897,38.16,274.73584
2010-02-04 00:00:00+00:00,24.2305,10.9805,17.015919,21.83714,8.612263,14.742416,0.0,0.0,0.0,19.296133,32.760002,270.75882
2010-02-05 00:00:00+00:00,24.780499,10.8805,17.690916,22.088066,8.719283,15.868537,0.0,0.0,0.0,19.839235,37.079998,274.11313
2010-02-06 00:00:00+00:00,24.9805,11.6805,18.140913,25.583954,10.518944,17.916677,0.0,0.0,0.0,9.290511,17.64,340.79074
2010-02-07 00:00:00+00:00,26.1805,12.1305,19.672167,27.19471,11.337519,20.067635,0.0,0.0,0.0,8.78872,19.08,286.74585
2010-02-08 00:00:00+00:00,26.880499,13.7805,21.138834,28.77681,13.9373455,22.153206,0.0,0.0,0.0,9.531505,17.28,89.33766
2010-02-09 00:00:00+00:00,21.8305,13.2805,17.678415,21.703796,12.986273,17.771048,4.4999995,4.4999995,0.0,19.191748,37.44,54.628605
2010-02-10 00:00:00+00:00,25.880499,13.4305,19.449251,27.898499,13.641077,20.299877,0.0,0.0,0.0,9.726664,16.199999,311.29526
