date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2010-01-01 00:00:00+00:00,21.863,8.113,15.083835,20.415354,6.558859,13.841515,0.0,0.0,0.0,10.182337,24.84,258.0532
2010-01-02 00:00:00+00:00,21.163,7.213,14.196332,20.37637,5.6044903,13.065831,0.0,0.0,0.0,9.3876505,19.44,308.04712
2010-01-03 00:00:00+00:00,21.013,7.963,15.388,20.154293,6.5248938,14.554898,0.0,0.0,0.0,11.113451,24.119999,281.9309
2010-01-04 00:00:00+00:00,22.113,11.412999,16.265081,19.93977,9.794467,14.474849,0.0,0.0,0.0,19.966211,38.16,281.85223
2010-01-05 00:00:00+00:00,19.813,10.462999,14.365083,18.056162,9.18797,13.2658415,0.0,0.0,0.0,15.141414,30.239998,284.76926
2010-01-06 00:00:00+00:00,20.513,9.563,14.912999,19.670023,8.788101,14.318299,0.0,0.0,0.0,8.669949,21.599998,314.5417
2010-01-07 00:00:00+00:00,20.813,8.013,13.942169,21.211283,7.3642244,13.457702,0.0,0.0,0.0,9.114471,15.84,273.4126
2010-01-08 00:00:00+00:00,21.113,8.363,14.890084,21.15509,6.88628,14.285855,0.0,0.0,0.0,8.647496,16.919998,284.33395
2010-01-09 00:00:00+00:00,20.063,9.313,14.115085,18.811495,7.9431086,12.8393755,0.0,0.0,0.0,10.1376915,24.48,285.50705
2010-01-10 00:00:00+00:00,19.113,7.763,13.183834,17.410341,6.1700954,11.678627,0.0,0.0,0.0,10.805998,25.199999,291.9639
2010-01-11 00:00:00+00:00,19.563,6.963,12.958833,18.01016,5.083558,11.365318,0.0,0.0,0.0,9.957108,23.759998,288.53668
2010-01-12 00:00:00+00:00,21.463001,7.163,15.6755,20.300922,5.4207487,14.785782,0.2,0.2,0.0,7.9526596,20.519999,215.21762
2010-01-13 00:00:00+00:00,24.013,13.363,18.208834,25.84954,12.509569,18.548254,0.70000005,0.70000005,0.0,10.163227,26.28,61.601368
2010-01-14 00:00:00+00:00,21.213001,11.563,16.6505,20.116535,10.671972,15.9063425,0.0,0.0,0.0,11.901798,25.199999,278.53064
2010-01-15 00:00:00+00:00,21.513,9.763,15.302585,21.340427,8.652685,14.689925,0.0,0.0,0.0,9.255571,23.039999,261.97766
2010-01-16 00:00:00+00:00,21.813,9.412999,15.267167,21.515835,7.8259497,14.749741,0.0,0.0,0.0,9.346143,22.319998,272.71863
2010-01-17 00:00:00+00:00,20.413,7.913,13.844247,20.202364,6.8684454,13.271497,0.0,0.0,0.0,9.504272,19.8,298.15057
2010-01-18 00:00:00+00:00,20.413,8.563,13.98175,20.16229,7.2799416,13.27517,0.0,0.0,0.0,9.504273,20.16,280.70978
2010-01-19 00:00:00+00:00,21.763,9.013,15.002585,21.674978,7.785199,14.537181,0.0,0.0,0.0,9.6932955,21.24,262.14236
2010-01-20 00:00:00+00:00,22.563,8.962999,15.317165,22.941797,7.445857,14.78687,0.0,0.0,0.0,8.759178,17.64,270.43515
2010-01-21 00:00:00+00:00,23.013,8.912999,15.9192505,23.07177,7.3302402,15.339771,0.0,0.0,0.0,9.779817,21.599998,266.72955
2010-01-22 00:00:00+00:00,23.013,9.462999,16.008835,23.36755,8.369705,15.773618,0.0,0.0,0.0,9.178235,18.0,287.3541
2010-01-23 00:00:00+00:00,23.163,9.513,15.754665,23.939898,8.7777405,15.952683,0.0,0.0,0.0,10.365251,19.8,304.39133
2010-01-24 00:00:00+00:00,23.213001,9.613,15.808831,25.04065,9.107286,15.899535,0.0,0.0,0.0,9.227524,14.4,74.44108
2010-01-25 00:00:00+00:00,23.363,9.712999,16.488,24.69966,8.751808,16.399878,0.0,0.0,0.0,9.659814,15.84,337.75092
2010-01-26 00:00:00+00:00,23.963001,9.962999,17.112999,24.92715,8.836422,17.219465,0.0,0.0,0.0,8.654986,18.72,265.97177
2010-01-27 00:00:00+00:00,25.713001,11.412999,18.213001,26.458246,10.564099,18.190344,0.0,0.0,0.0,10.739833,24.119999,271.47455
2010-01-28 00:00:00+00:00,25.013,11.013,17.975498,25.311995,9.765195,17.560339,0.0,0.0,0.0,9.826088,17.64,238.21468
2010-01-29 00:00:00+00:00,25.913,11.212999,18.246334,25.956715,9.7538805,17.52727,0.0,0.0,0.0,10.799999,19.8,263.2501
2010-01-30 00:00:00+00:00,27.013,11.513,18.758833,25.402859,10.267566,17.522642,0.0,0.0,0.0,18.129137,34.56,275.6258
2010-01-31 00:00:00+00:00,25.913,11.013,18.102583,25.945478,10.148758,17.578848,0.0,0.0,0.0,12.015589,22.68,317.5683
2010-02-01 00:00:00+00:00,25.063,11.113,18.131752,24.721672,9.839766,17.317966,0.0,0.0,0.0,9.605998,16.56,0.32736215
2010-02-02 00:00:00+00:00,25.313,11.212999,17.740082,24.00861,9.721054,16.315819,0.0,0.0,0.0,12.245293,24.84,290.4669
2010-02-03 00:00:00+00:00,25.463001,10.412999,17.904667,23.818687,8.60411,16.452597,0.0,0.0,0.0,14.182355,28.08,296.03708
2010-02-04 00:00:00+00:00,25.013,11.013,17.583836,22.598461,9.443957,15.466706,0.0,0.0,0.0,17.163355,30.960001,278.7196
2010-02-05 00:00:00+00:00,26.413,11.813,19.08175,23.472977,9.678883,16.997541,0.0,0.0,0.0,20.991426,39.96,274.4489
2010-02-06 00:00:00+00:00,27.763,12.813,20.000502,26.170992,11.315917,18.953194,0.0,0.0,0.0,14.84318,29.519999,282.88995
2010-02-07 00:00:00+00:00,28.513,12.113,20.402584,27.942745,11.631583,19.642832,0.0,0.0,0.0,13.708391,24.84,279.09015
2010-02-08 00:00:00+00:00,29.213001,13.712999,21.829666,28.799393,13.492012,21.52738,0.0,0.0,0.0,9.1641035,21.96,159.39368
2010-02-09 00:00:00+00:00,25.113,15.813,20.008831,25.271452,15.914873,19.991533,0.90000004,0.90000004,0.0,16.071491,43.56,75.032455
2010-02-10 00:00:00+00:00,27.263,15.363,20.929667,28.34996,15.41884,21.662521,0.0,0.0,0.0,11.966953,26.28,75.42348
2010-02-11 00:00:00+00:00,27.763,15.162999,21.742167,29.948097,15.816187,23.06499,1.8,1.8,0.0,12.224107,28.08,9.619657
2010-02-12 00:00:00+00:00,20.863,14.412999,17.938002,22.909176,15.047194,19.14943,22.699999,22.699999,0.0,12.4811535,38.519997,48.468323
2010-02-13 00:00:00+00:00,23.363,13.313,17.838,23.475851,13.007242,18.25789,0.0,0.0,0.0,10.805998,23.4,292.94138
2010-02-14 00:00:00+00:00,25.113,12.813,18.529667,26.494387,12.496845,19.0356,0.0,0.0,0.0,10.739833,21.96,294.31174
2010-02-15 00:00:00+00:00,26.213001,12.063,19.56925,28.48185,12.110622,20.446295,0.0,0.0,0.0,8.707238,16.919998,85.66182
2010-02-16 00:00:00+00:00,26.613,14.363,20.123419,28.001572,13.868061,20.531485,0.0,0.0,0.0,9.793059,20.519999,19.523088
2010-02-17 00:00:00+00:00,27.113,14.263,19.91092,26.3903,12.573429,18.501524,0.0,0.0,0.0,17.283749,32.039997,304.54184
2010-02-18 00:00:00+00:00,23.763,11.613,17.398417,21.471043,10.06779,15.480714,0.0,0.0,0.0,19.852295,38.519997,273.9323
2010-02-19 00:00:00+00:00,25.313,10.712999,18.1755,25.096441,9.200391,17.347149,0.0,0.0,0.0,10.739833,24.84,272.8271
2010-02-20 00:00:00+00:00,26.713001,11.662999,19.054667,25.698053,10.571056,17.941252,0.0,0.0,0.0,13.708391,27.72,273.20587
2010-02-21 00:00:00+00:00,27.213001,12.212999,20.229668,26.613815,10.951235,19.619123,0.0,0.0,0.0,13.363711,28.08,259.17194
2010-02-22 00:00:00+00:00,28.163,11.962999,20.773418,29.574867,11.1097145,21.084894,0.0,0.0,0.0,8.707238,17.28,167.00536
2010-02-23 00:00:00+00:00,27.913,13.513,21.200499,28.05577,12.890736,21.109974,0.0,0.0,0.0,12.605142,27.359999,65.989204
2010-02-24 00:00:00+00:00,29.063,14.763,21.858833,30.50637,14.822828,22.327662,0.0,0.0,0.0,9.673221,22.319998,344.37344
